omega_b,omega_cdm,h,amp,lnprob
0.022361992408711513,0.11994344408797843,0.6779532238091649,7.736206624437226,-742.4090955503654
0.02216822549356916,0.11995712228365288,0.6779607675891695,8.097120257494508,-1236.7740661532243
0.022340119680983195,0.12010981107362617,0.6779252992719366,7.829336636832564,-831.7635276047586
0.02230014779691581,0.12002793253637585,0.6778751426090679,7.760289001048144,-759.0927951668352
0.022346183639477022,0.12003091085850255,0.6781570110879515,8.056723417916832,-1166.0059013394534
0.02255950841777448,0.12008031366691288,0.6780149337324842,8.058208227938856,-1179.7672467142713
0.02246411909618252,0.11988666899634172,0.6780472985134934,7.888515832818713,-924.7680125462033
0.02252236909682786,0.1200150589722308,0.6779496827541667,7.959352052210239,-1022.0321005311107
0.022358796691238195,0.12006136088506289,0.6780210187148792,7.926043477709694,-959.8459477653032
0.022581293790190544,0.11992851614319709,0.6778519142847155,7.863764102636451,-899.2949049447886
0.022192334669795692,0.11997825556488863,0.6780559483752197,7.920057706641061,-946.8253372085176
0.02241763433459372,0.11995983737929997,0.6779061536079455,7.917624991736108,-959.1190986642832
0.022212685891104658,0.11999536178319715,0.6779936975497469,7.9414858811911495,-978.3499576379128
0.022387909978241954,0.11997329033523259,0.6779521204143545,7.935146375408997,-980.9560982755642
0.02241208173397321,0.11999246709250506,0.6780380822198616,8.095320065580944,-1243.7070435409921
0.022406961036887534,0.12016912117655885,0.6779658662761681,8.110625503235084,-1259.633429961274
0.02245478389765355,0.1199602480419329,0.6779527457857019,7.946438582868701,-1002.291620447875
0.022189487874957035,0.11977577751679601,0.6781687764328126,7.847780614372896,-861.6649504852868
0.022513349414915965,0.12011566351413797,0.6781230814354249,7.8482717144582566,-861.8460893260524
0.022482293947504523,0.12003114163040081,0.6780785511366065,8.128555594440822,-1306.9972731247692
0.02227938182299245,0.1199490674281218,0.6779913869939895,7.688155864721002,-694.2943937591767
0.022022874969499295,0.11993605500860056,0.6779146841997481,8.098193261973003,-1233.1523391750266
0.022574291579151782,0.12023806786118625,0.6779331347109954,7.630882055982817,-655.9064795437876
0.022202959156547505,0.1200850653102556,0.6777909794221986,7.599672602674938,-622.7912119484756
0.022346183639477022,0.12003091085850255,0.6781570110879515,8.056723417916832,-1166.0059013394534
0.02255950841777448,0.12008031366691288,0.6780149337324842,8.058208227938856,-1179.7672467142713
0.02246411909618252,0.11988666899634172,0.6780472985134934,7.888515832818713,-924.7680125462033
0.02252236909682786,0.1200150589722308,0.6779496827541667,7.959352052210239,-1022.0321005311107
0.022355368571243185,0.12006103717497608,0.6780211226452781,7.923786127674822,-956.4975505214986
0.022581293790190544,0.11992851614319709,0.6778519142847155,7.863764102636451,-899.2949049447886
0.022146522544548207,0.11998200069351887,0.6780864074380235,7.920552371557749,-944.5251731837551
0.02241763433459372,0.11995983737929997,0.6779061536079455,7.917624991736108,-959.1190986642832
0.022212685891104658,0.11999536178319715,0.6779936975497469,7.9414858811911495,-978.3499576379128
0.022376268549030496,0.12000850680087356,0.6779796705390877,7.931506431242888,-972.460263284001
0.02241208173397321,0.11999246709250506,0.6780380822198616,8.095320065580944,-1243.7070435409921
0.022406961036887534,0.12016912117655885,0.6779658662761681,8.110625503235084,-1259.633429961274
0.02241006666528435,0.119963316241428,0.6779703298884033,7.941943695297482,-992.6351673393989
